Season (raw),Hero (raw),Role (raw),Assists (raw),Assists - Most in Game (raw),Critical Hit Damage (raw),Critical Hit Damage - Most in Game (raw),Critical Hit Kills (raw),Critical Hit Kills - Most in Game (raw),Critical Hits (raw),Critical Hits - Most in Game (raw),Critical Hits - Most in Life (raw),Damage Done (raw),Damage Done - Most in Game (raw),Damage Done - Most in Life (raw),Deaths (raw),Defensive Assists (raw),Defensive Assists - Most in Game (raw),Eliminations (raw),Eliminations - Most in Game (raw),Eliminations - Most in Life (raw),Final Blows (raw),Final Blows - Most in Game (raw),Games Played (raw),Games Tied (raw),Games Won (raw),Healing Accuracy - Best in Game (raw),Healing Done (raw),Healing Done - Most in Game (raw),Hero Damage Done (raw),Hero Damage Done - Most in Game (raw),Hero Damage Done - Most in Life (raw),Hero Wins (raw),Kill Streak - Best (raw),Melee Kills (raw),Obj Contest Time (raw),Obj Contest Time - Most in Game (raw),Objective Kills (raw),Objective Kills - Most in Game (raw),Objective Time (raw),Objective Time - Most in Game (raw),Offensive Assists (raw),Offensive Assists - Most in Game (raw),Scoped Accuracy - Best in Game (raw),Scoped Critical Hit Kills (raw),Scoped Critical Hits (raw),Scoped Critical Hits - Most in Game (raw),Self Healing (raw),Self Healing - Most in Game (raw),Solo Kills (raw),Solo Kills - Most in Game (raw),Time Played (raw),Time Spent on Fire (raw),Time Spent on Fire - Most in Game (raw),Ultimate Damage (raw),Weapon Accuracy - Best in Game (raw)
Season 03,Kiriko,Support,181,44,0,0,26,2,195,14,12,"86,387","5,102","2,473",177,641,43,256,20,12,75,7,34,1,14,0,"390,157","21,029","63,970","3,218","1,981",14,12,0,"1,151",174,112,9,"2,690",248,219,18,0,0,0,0,0,0,5,2,"22,416",0,0,0,1
Season 03,Lúcio,Support,192,18,0,0,6,2,181,15,12,"72,264","5,801","3,012",86,185,16,225,18,10,31,4,17,0,10,0,"151,822","12,461","54,989","4,417","2,553",10,10,0,"1,265",213,111,9,"1,466",213,124,11,0,0,0,0,"23,784","1,786",1,1,"9,670",0,0,0,1
Season 03,Mei,Damage,122,16,0,0,0,0,0,0,0,"321,469","39,324","16,311",70,0,0,189,25,14,67,9,9,0,4,0,"9,983","1,620","73,309","8,566","4,154",4,14,0,778,252,92,20,832,252,89,16,0,0,0,0,"9,983","1,620",3,1,"6,083",0,0,0,1
Season 03,Mercy,Support,19,44,0,0,1,1,13,3,3,"4,255","1,100","1,100",69,335,41,31,5,2,12,2,15,0,9,0,"164,388","17,300","3,273",640,640,9,2,0,440,108,12,3,834,108,117,15,0,0,0,0,"10,117",929,1,1,"9,645",0,0,0,0
Season 03,Moira,Support,462,35,0,0,0,0,0,0,0,"170,824","8,753","3,820",160,695,40,602,33,17,140,12,33,0,15,0,"447,454","23,316","149,168","7,698","3,472",15,17,0,"1,276",97,297,21,"2,671",207,0,0,0,0,0,0,"57,067","2,857",14,2,"21,859",0,0,0,0
Season 03,Orisa,Tank,11,6,0,0,0,0,0,0,0,"8,178","8,178","2,747",4,0,0,18,18,6,6,6,1,0,0,0,0,0,"6,968","6,968","2,327",0,6,0,184,184,12,12,184,184,6,6,0,0,0,0,0,0,1,1,418,0,0,0,0
Season 03,Pharah,Damage,22,6,0,0,0,0,0,0,0,"25,215","6,213","3,118",16,0,0,38,12,7,16,6,2,0,2,0,0,0,"21,863","5,893","3,040",2,7,0,32,9,19,7,90,39,0,0,0,0,0,0,0,0,4,2,"1,508",0,0,0,0
Season 03,Ramattra,Tank,15,5,0,0,1,1,107,65,37,"16,190","9,697","3,763",6,0,0,26,19,9,11,7,2,0,1,0,372,278,"12,363","7,438","3,278",1,9,0,103,83,12,12,187,167,5,5,0,0,0,0,0,0,0,0,641,0,0,0,0
Season 03,Reaper,Damage,38,0,0,0,7,2,994,205,79,"57,836","11,413","4,268",46,0,0,96,13,9,58,8,5,0,2,0,"8,030","1,783","50,375","11,003","4,268",2,9,0,311,37,43,8,352,42,0,0,0,0,0,0,"8,030","1,783",14,4,"3,359",0,0,0,0
Season 03,Reinhardt,Tank,13,3,0,0,0,0,0,0,0,"17,332","14,516","3,648",13,0,0,39,36,9,26,24,1,0,0,0,0,0,"15,577","13,228","3,263",0,9,0,102,75,11,10,217,190,3,3,0,0,0,0,0,0,2,2,"1,085",0,0,0,0
