Season,Hero,Role,Assists,Critical Hit Kills,Critical Hits,Damage Done,Deaths,Defensive Assists,Eliminations,Final Blows,Games Played,Games Won,Healing Done,Hero Damage Done,Hero Wins,Kill Streak - Best,Obj Contest Time,Objective Kills,Objective Time,Offensive Assists,Self Healing,Solo Kills,Time Played,Time Spent on Fire
Season 08,Zenyatta,Support,28,2,21,22470,20,70,40,12,3,2,23025,18245,2,7,106,14,149,35,1084,2,1938,329
Season 09,Ana,Support,137,0,0,69165,115,246,166,29,16,6,207377,52435,6,8,296,72,1621,161,4445,0,12888,1649
Season 09,Ashe,Damage,254,45,447,311728,130,0,471,216,18,9,0,268117,9,16,288,149,1011,0,0,32,14067,2509
Season 09,Baptiste,Support,185,26,488,119325,147,485,297,112,24,14,288532,99037,14,10,564,126,1715,66,21054,6,16899,2517
Season 09,Bastion,Damage,166,13,284,263485,99,0,345,179,13,5,0,194432,5,17,370,147,1391,0,0,19,9793,2191
Season 09,Brigitte,Support,12,0,0,5925,16,30,17,5,1,1,15008,5238,1,5,41,3,47,9,1954,1,1045,95
Season 09,Cassidy,Damage,230,44,374,294649,173,0,504,274,26,12,0,263174,12,24,762,188,1065,0,0,35,16143,2999
Season 09,D.Va,Tank,126,10,3800,125746,43,0,221,94,7,4,0,101953,4,21,638,57,1121,0,0,10,5467,1392
Season 09,Doomfist,Tank,50,9,495,48869,23,0,86,35,4,3,1305,42922,3,12,185,33,399,0,0,3,2206,489
Season 09,Echo,Damage,53,4,302,70952,32,0,106,53,6,4,1700,60561,4,12,135,35,255,0,0,4,3648,557
Season 09,Genji,Damage,0,0,8,2144,2,0,1,1,0,0,0,1994,0,1,16,0,16,0,0,0,195,10
Season 09,Hanzo,Damage,71,41,166,120132,72,0,183,112,7,2,0,103566,2,13,129,61,638,0,0,14,6081,1031
Season 09,Illari,Support,34,6,57,23736,31,0,62,27,4,2,54636,21825,2,13,50,24,55,6,2678,3,3274,230
Season 09,Junker Queen,Tank,94,5,670,83460,46,0,166,72,7,3,16977,74754,3,21,702,91,909,0,16977,2,4419,904
Season 09,Junkrat,Damage,27,0,0,42163,13,0,56,29,3,2,0,33324,2,11,33,17,52,11,0,6,1789,258
Season 09,Kiriko,Support,108,6,133,46754,116,359,139,31,17,7,218293,38814,7,8,535,61,1719,105,0,3,12202,1633
Season 09,Lifeweaver,Support,19,2,126,7773,38,150,30,11,8,3,100880,6879,3,5,308,13,757,0,7133,1,5196,497
Season 09,Lúcio,Support,140,2,200,59112,108,147,176,31,16,5,110132,51792,5,11,948,71,1126,125,22841,1,9096,934
Season 09,Mauga,Tank,15,0,312,24633,15,13,24,9,1,0,3680,22786,0,9,46,8,55,14,2936,1,986,168
Season 09,Mei,Damage,138,0,0,396436,80,0,225,87,12,5,14939,109556,5,12,622,87,929,96,14939,8,8285,1490
Season 09,Mercy,Support,15,3,34,4286,43,169,24,9,9,6,96691,3521,6,5,114,9,250,86,8063,0,5620,937
Season 09,Moira,Support,580,0,0,251330,208,824,791,211,33,17,477420,229467,17,16,1681,372,2706,0,73228,8,23830,4208
Season 09,Orisa,Tank,20,2,155,34810,13,0,40,19,2,1,0,25371,1,15,145,22,193,10,0,3,1308,271
Season 09,Ramattra,Tank,11,0,71,13337,5,0,17,6,1,0,295,9339,0,9,84,10,93,5,0,0,554,169
Season 09,Reaper,Damage,123,24,2536,137830,57,0,244,121,11,7,21540,110128,7,13,572,95,887,0,21540,11,7217,1318
Season 09,Reinhardt,Tank,4,0,0,4679,5,0,6,2,0,0,0,4164,0,2,31,5,31,0,0,0,311,14
Season 09,Roadhog,Tank,2,1,37,5357,4,0,6,1,0,0,1477,4582,0,5,21,2,33,1,1477,0,245,37
Season 09,Sigma,Tank,122,0,0,147366,49,0,203,81,9,5,0,126536,5,16,656,87,1592,34,0,2,6402,1598
Season 09,Sojourn,Damage,47,2,453,70595,51,0,98,51,6,2,0,61861,2,13,201,37,429,0,0,4,4172,438
Season 09,Soldier 76,Damage,115,15,399,137721,72,36,243,128,9,4,19936,115900,4,17,345,84,655,0,10072,13,6959,1355
Season 09,Sombra,Damage,165,17,887,132092,95,0,287,122,12,5,1526,116135,5,12,332,85,740,109,0,26,9263,1379
Season 09,Symmetra,Damage,64,0,0,45069,22,0,80,16,3,2,215,39413,2,11,211,37,292,0,0,2,2698,476
Season 09,Torbjörn,Damage,74,15,127,77029,27,0,128,54,6,4,0,56692,4,18,117,39,216,0,0,9,3206,744
Season 09,Tracer,Damage,176,14,1912,147110,113,0,320,144,16,10,0,132437,10,15,634,103,825,0,16544,24,10412,1439
Season 09,Widowmaker,Damage,19,34,89,39620,41,0,69,50,5,1,0,36880,1,7,7,10,18,0,0,18,3270,346
Season 09,Winston,Tank,63,0,0,51421,32,0,98,35,4,1,0,47500,1,13,285,30,520,0,0,2,3156,546
Season 09,Wrecking Ball,Tank,3,0,4,459,0,0,3,0,0,0,0,419,0,3,10,3,10,0,0,0,33,0
Season 09,Zarya,Tank,79,0,0,75840,40,26,139,60,5,4,0,63062,4,13,663,80,820,16,0,1,3646,737
Season 09,Zenyatta,Support,53,5,43,34765,35,101,82,29,5,2,36521,26706,2,15,47,32,183,52,1373,1,3073,462
Season 10,Ana,Support,189,0,0,78682,121,344,236,47,20,11,259421,66179,11,10,347,98,1926,210,4059,6,15298,2324
Season 10,Ashe,Damage,188,61,362,235241,91,0,370,182,15,9,0,205692,9,23,294,105,727,0,0,36,10717,2068
Season 10,Baptiste,Support,95,8,211,67087,73,241,164,69,13,6,165380,53839,6,9,259,65,791,27,11291,5,8911,1342
Season 10,Bastion,Damage,87,5,180,120955,44,0,162,75,6,2,0,92443,2,13,179,67,448,0,0,9,4557,1145
Season 10,Brigitte,Support,83,0,0,38283,55,209,123,40,8,6,86247,35000,6,9,453,51,659,56,11276,2,4908,864
Season 10,Cassidy,Damage,292,75,570,390771,223,0,696,404,33,17,0,351513,17,17,1194,276,1728,0,0,62,20542,4154
Season 10,D.Va,Tank,2,1,58,2660,2,0,5,3,0,0,0,1421,0,3,12,3,12,0,0,1,171,26
Season 10,Doomfist,Tank,1,0,27,3139,1,0,4,2,0,0,300,2544,0,3,9,1,12,0,0,1,115,37
Season 10,Echo,Damage,63,2,260,77417,42,0,115,51,6,3,854,62076,3,9,109,41,316,0,0,11,4313,517
Season 10,Genji,Damage,5,0,3,2149,3,0,8,3,0,0,0,2055,0,6,24,3,24,0,0,0,243,10
Season 10,Hanzo,Damage,105,51,179,164241,79,0,281,176,11,5,0,137867,5,16,173,84,743,0,0,31,8225,1592
Season 10,Illari,Support,62,10,114,45995,45,0,108,46,6,3,89842,42370,3,18,129,46,458,9,5710,1,5135,692
Season 10,Junker Queen,Tank,4,1,33,4677,1,0,6,2,0,0,766,3965,0,6,1,0,1,0,766,0,154,1
Season 10,Junkrat,Damage,27,0,0,45909,28,0,61,34,3,2,0,40001,2,6,78,22,103,17,0,5,2156,350
Season 10,Kiriko,Support,84,19,127,43389,138,435,125,41,21,6,298928,36776,6,6,792,54,1831,148,0,5,15253,1707
Season 10,Lifeweaver,Support,12,0,67,4993,18,64,15,3,3,0,51258,4284,0,3,63,4,180,0,2122,1,2464,228
Season 10,Lúcio,Support,113,7,178,48169,64,126,155,40,10,8,78667,43774,8,19,550,64,706,106,16942,5,6380,937
Season 10,Mauga,Tank,6,1,220,13850,6,6,9,3,1,0,2628,11880,0,4,56,1,156,5,2024,0,515,131
Season 10,Mei,Damage,55,0,0,147407,33,0,84,29,4,2,8326,40968,2,11,408,45,483,38,8326,4,3221,645
Season 10,Mercy,Support,2,1,8,1103,5,31,3,1,1,0,15132,1103,0,1,32,2,87,13,1252,1,905,201
Season 10,Moira,Support,135,0,0,55728,51,217,173,38,9,4,139133,51060,4,13,357,68,584,0,18940,3,6055,994
Season 10,Orisa,Tank,5,1,21,5791,3,0,9,4,0,0,0,4785,0,5,12,5,52,3,0,0,253,71
Season 10,Pharah,Damage,1,0,0,3405,1,0,3,2,0,0,0,2466,0,3,0,1,0,0,0,1,119,34
Season 10,Ramattra,Tank,0,0,15,1016,2,0,0,0,0,0,0,838,0,0,4,0,4,0,0,0,53,0
Season 10,Reaper,Damage,134,29,3300,226768,76,0,315,181,12,6,29450,151456,6,17,810,123,1130,0,29450,25,8734,2213
Season 10,Reinhardt,Tank,7,0,0,18258,14,0,27,20,1,0,0,14464,0,12,66,9,165,1,0,2,837,261
Season 10,Roadhog,Tank,3,0,38,6802,2,0,6,2,1,0,3661,5988,0,4,58,2,66,2,3661,1,334,46
Season 10,Sigma,Tank,34,0,0,37588,14,0,48,14,3,1,0,32175,1,12,167,20,242,6,0,1,1681,258
Season 10,Sojourn,Damage,107,7,647,130916,56,0,208,101,10,7,0,105098,7,14,173,68,437,0,0,14,6267,1157
Season 10,Soldier 76,Damage,89,12,342,103849,54,30,163,74,7,2,14438,89987,2,16,179,47,382,0,7823,17,5101,911
Season 10,Sombra,Damage,145,8,770,107107,79,0,208,63,10,5,3516,97137,5,19,296,67,573,82,0,10,7184,908
Season 10,Symmetra,Damage,46,0,0,44882,33,0,74,28,3,2,369,37512,2,16,185,35,527,0,0,0,2650,481
Season 10,Torbjörn,Damage,0,0,4,2054,1,0,0,0,0,0,0,1159,0,0,0,0,0,0,0,0,80,0
Season 10,Tracer,Damage,43,5,647,41755,27,0,88,45,4,3,0,38063,3,12,143,28,188,0,4219,8,3031,382
Season 10,Venture,Damage,4,0,0,7459,4,0,9,5,1,1,0,6260,1,8,27,1,27,0,0,1,403,45
Season 10,Widowmaker,Damage,33,28,65,28438,26,0,69,36,3,1,0,24604,1,11,11,9,96,0,0,11,2370,275
Season 10,Winston,Tank,19,0,0,15829,7,0,34,15,2,1,0,14125,1,14,30,9,68,0,0,0,812,98
Season 10,Wrecking Ball,Tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Season 10,Zarya,Tank,10,0,0,8650,2,1,18,8,1,0,0,7664,0,9,82,10,129,0,0,1,358,76
Season 10,Zenyatta,Support,3,0,0,2551,3,6,5,2,0,0,1039,1975,0,5,1,3,35,2,0,0,182,48
Season 11,Ana,Support,87,0,0,31467,37,117,105,18,8,5,85908,24176,5,8,64,41,738,76,1648,1,5245,927
Season 11,Ashe,Damage,214,56,399,284732,108,0,407,193,18,10,0,242675,10,17,322,117,1070,0,0,32,12943,2281
Season 11,Baptiste,Support,21,2,53,14060,30,50,29,8,4,1,39544,10794,1,10,38,10,50,9,2948,1,2516,180
Season 11,Bastion,Damage,100,5,212,176275,49,0,197,97,7,4,0,110221,4,14,150,97,1035,0,0,4,5592,1389
Season 11,Brigitte,Support,45,0,0,19087,33,107,64,19,4,2,45997,17418,2,15,229,17,258,32,4947,0,2656,494
Season 11,Cassidy,Damage,139,28,218,164129,87,0,305,166,15,8,0,143977,8,13,664,123,767,0,0,23,9249,1760
Season 11,Echo,Damage,29,3,107,25917,11,0,48,19,3,1,356,21665,1,13,171,24,244,0,0,2,1592,267
Season 11,Hanzo,Damage,46,24,89,81084,31,0,105,59,5,4,0,62250,4,15,73,43,369,0,0,11,3621,806
Season 11,Illari,Support,7,1,15,7722,11,0,11,4,1,0,9599,6094,0,2,33,4,33,0,552,1,745,41
Season 11,Junkrat,Damage,4,0,0,5819,5,0,4,0,0,0,0,5084,0,3,9,0,10,3,0,0,293,15
Season 11,Kiriko,Support,51,7,54,20747,58,208,71,20,8,4,106203,18249,4,8,472,38,849,71,0,1,6071,774
Season 11,Lifeweaver,Support,5,0,49,2187,18,26,7,2,2,1,25031,1541,1,4,49,2,104,0,1554,0,1481,178
Season 11,Lúcio,Support,46,1,63,19964,22,64,54,8,4,3,34183,15226,3,7,329,26,362,42,6070,0,2484,428
Season 11,Mei,Damage,1,0,0,16072,3,0,4,3,1,0,790,4757,0,3,8,0,32,1,790,0,349,26
Season 11,Mercy,Support,7,0,12,2372,17,106,10,3,3,2,44762,1788,2,2,23,3,198,35,3244,0,2517,575
Season 11,Moira,Support,82,0,0,36984,31,133,113,31,7,3,89509,33271,3,10,297,50,314,0,12690,1,4169,900
Season 11,Pharah,Damage,2,0,0,4500,1,0,8,5,0,0,0,3836,0,8,23,5,25,0,0,2,191,102
Season 11,Ramattra,Tank,17,0,118,18306,5,0,29,12,1,1,0,14560,1,13,64,15,169,8,0,1,661,156
Season 11,Reaper,Damage,44,12,1032,67341,27,0,99,55,4,2,8468,44784,2,22,191,31,430,0,8468,11,3073,615
Season 11,Sigma,Tank,0,0,0,499,1,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,25,0
Season 11,Sojourn,Damage,66,3,493,70207,40,0,103,37,6,2,0,60723,2,10,136,37,298,0,0,3,3601,622
Season 11,Soldier 76,Damage,61,6,220,91496,36,15,127,66,6,3,9420,70390,3,17,196,36,360,0,5796,13,3978,824
Season 11,Sombra,Damage,8,0,64,9525,7,0,19,11,1,0,22,8764,0,6,59,7,77,3,0,3,770,61
Season 11,Symmetra,Damage,10,0,0,7190,5,0,14,4,1,0,130,6200,0,5,22,3,39,0,0,0,529,40
Season 11,Tracer,Damage,13,3,310,15684,18,0,24,11,2,0,0,13759,0,5,43,11,56,0,2063,1,1274,77
Season 11,Widowmaker,Damage,87,99,225,97241,97,0,240,153,12,5,0,87939,5,13,23,49,338,0,0,50,8066,1169
Season 11,Zenyatta,Support,0,0,1,894,2,0,0,0,0,0,97,894,0,0,0,0,0,0,0,0,85,0
Season 12,Ana,Support,40,0,0,26220,29,93,51,11,6,2,76318,17644,2,7,59,28,635,52,1502,1,4469,639
Season 12,Ashe,Damage,337,78,633,455508,214,0,660,319,29,16,0,378829,16,17,780,177,1951,0,0,51,21253,3703
Season 12,Baptiste,Support,3,0,11,2392,6,10,3,0,1,0,8987,1953,0,2,17,0,43,0,861,0,484,29
Season 12,Bastion,Damage,49,6,111,73704,29,0,84,35,3,1,0,47992,1,14,121,36,365,0,0,1,2595,498
Season 12,Brigitte,Support,15,0,0,7607,17,45,20,5,2,1,18566,7300,1,6,39,10,156,11,2403,0,1364,178
Season 12,Cassidy,Damage,397,94,760,516117,321,0,859,462,49,22,0,455913,22,13,1498,318,2551,0,0,54,29252,4818
Season 12,D.Va,Tank,8,0,223,8666,4,0,9,1,0,0,0,4438,0,6,57,1,57,0,0,0,382,91
Season 12,Doomfist,Tank,7,0,48,4465,2,0,11,4,0,0,196,4115,0,6,21,4,21,0,0,0,187,29
Season 12,Echo,Damage,66,3,263,62089,38,0,111,45,5,2,545,51031,2,10,100,36,303,0,0,5,3848,478
Season 12,Genji,Damage,78,3,142,68083,47,0,142,64,8,3,0,59136,3,10,239,52,387,0,0,7,4918,660
Season 12,Hanzo,Damage,93,37,116,126641,73,0,207,114,12,7,0,97820,7,17,178,71,646,0,0,16,6965,1264
Season 12,Illari,Support,22,1,15,13203,10,0,30,8,2,1,28380,10253,1,6,18,11,76,4,1086,0,1534,209
Season 12,Junker Queen,Tank,39,5,402,42558,15,0,83,44,4,3,9318,37636,3,18,226,33,276,0,9318,6,1916,542
Season 12,Junkrat,Damage,0,0,0,1683,2,0,2,2,0,0,0,1022,0,1,2,1,2,0,0,0,61,0
Season 12,Juno,Support,468,0,0,224462,209,0,631,163,41,28,497966,178160,28,13,872,263,2692,0,0,11,26986,3911
Season 12,Kiriko,Support,34,3,45,19185,36,120,50,16,5,2,71432,16706,2,9,169,23,337,45,0,1,3939,489
Season 12,Lifeweaver,Support,14,1,47,4049,13,46,15,1,2,1,29450,2492,1,6,83,9,274,0,1816,0,1642,95
Season 12,Lúcio,Support,5,0,7,4201,8,8,6,1,1,0,8568,2779,0,3,45,4,99,6,1498,0,518,62
Season 12,Mei,Damage,142,0,0,291354,48,0,213,71,9,6,12083,85964,6,15,648,102,1079,92,12083,5,6098,1375
Season 12,Mercy,Support,2,0,10,947,15,34,3,1,2,1,31833,767,1,2,11,0,84,11,1741,0,1393,302
Season 12,Moira,Support,61,0,0,28300,37,104,80,19,5,2,62728,25217,2,10,178,42,308,0,8453,2,3356,527
Season 12,Orisa,Tank,5,1,20,3396,0,0,8,3,0,0,0,2182,0,8,39,8,44,3,0,1,84,51
Season 12,Ramattra,Tank,13,1,86,14988,4,0,27,14,1,1,0,12299,1,13,56,12,70,5,0,1,606,145
Season 12,Reaper,Damage,129,19,2509,156709,63,0,248,119,11,6,19742,105070,6,21,629,81,1007,0,19742,8,7127,1476
Season 12,Reinhardt,Tank,21,0,0,22981,8,0,45,24,2,2,0,19064,2,14,69,7,85,10,0,1,1100,386
Season 12,Roadhog,Tank,0,0,4,322,1,0,0,0,0,0,251,322,0,0,7,0,7,0,251,0,65,0
Season 12,Sigma,Tank,45,0,0,62899,19,0,77,32,3,3,0,43676,3,15,248,47,625,7,0,1,2290,578
Season 12,Sojourn,Damage,85,5,667,94138,56,0,150,65,8,3,0,74536,3,20,192,51,477,0,0,13,5016,899
Season 12,Soldier 76,Damage,128,13,547,174280,78,42,235,107,12,5,19578,144550,5,20,294,82,747,0,11239,12,8442,1517
Season 12,Sombra,Damage,732,97,3597,505520,397,0,1349,616,52,27,13532,432329,27,19,1319,403,3113,449,0,128,39049,6023
Season 12,Symmetra,Damage,127,0,0,110505,70,0,205,78,9,4,681,98323,4,14,321,79,648,0,0,10,6160,1190
Season 12,Torbjörn,Damage,20,3,52,34417,10,0,38,18,2,1,0,22624,1,22,43,13,43,0,0,2,1179,249
Season 12,Tracer,Damage,146,9,1706,91769,82,0,243,97,13,6,0,80787,6,15,509,96,641,0,9470,13,7361,861
Season 12,Venture,Damage,13,0,0,9003,5,0,19,4,1,1,0,8415,1,7,31,5,36,0,0,0,604,64
Season 12,Widowmaker,Damage,94,100,278,103962,82,0,243,149,11,6,0,95595,6,12,34,48,386,0,0,45,8325,1052
Season 12,Winston,Tank,20,0,0,12184,0,0,30,10,1,1,0,10650,1,14,44,7,158,0,0,3,598,200
Season 12,Zarya,Tank,6,0,0,2477,2,2,7,1,0,0,0,2477,0,7,15,6,19,2,0,0,155,22
Season 12,Zenyatta,Support,18,2,22,24044,9,38,28,10,2,1,14671,15010,1,12,22,15,178,16,262,0,1257,350
Season 13,Ana,Support,100,0,0,46668,59,183,118,18,10,5,136209,37255,5,7,142,48,1113,109,2750,0,8228,1084
Season 13,Ashe,Damage,131,29,234,188568,97,0,239,108,12,6,0,160406,6,17,162,90,894,0,0,18,9147,1381
Season 13,Baptiste,Support,29,4,56,19778,23,70,47,18,3,2,38964,13936,2,7,118,17,332,10,2940,1,2436,404
Season 13,Bastion,Damage,143,6,231,213275,65,0,275,132,10,5,0,145703,5,22,286,120,904,0,0,13,7097,1616
Season 13,Brigitte,Support,150,0,0,78894,115,409,208,56,19,10,177624,72035,10,11,826,71,1240,117,20822,4,10958,1267
Season 13,Cassidy,Damage,108,26,208,153417,98,0,243,135,14,6,0,137355,6,17,258,92,661,0,0,18,9093,1422
Season 13,D.Va,Tank,0,0,51,2346,1,0,2,2,0,0,0,1050,0,2,52,0,52,0,0,0,82,37
Season 13,Doomfist,Tank,4,1,47,5616,4,0,9,5,1,0,284,5616,0,4,15,2,27,0,0,0,317,6
Season 13,Echo,Damage,25,1,83,25770,16,0,39,14,2,1,107,19664,1,8,91,14,138,0,0,2,1398,179
Season 13,Genji,Damage,19,2,46,23335,18,0,36,17,2,0,0,17855,0,6,52,7,76,0,0,2,1594,144
Season 13,Hanzo,Damage,28,22,48,54765,25,0,77,49,4,2,0,44615,2,8,27,22,229,0,0,12,2721,427
Season 13,Illari,Support,27,3,34,13133,17,0,38,11,2,1,31127,12162,1,10,41,13,41,5,1517,2,1820,173
Season 13,Junker Queen,Tank,2,0,41,5196,4,0,8,6,0,0,1162,5060,0,6,40,6,139,0,1162,0,255,39
Season 13,Junkrat,Damage,9,0,0,14833,6,0,15,6,1,0,0,9333,0,9,35,4,48,1,0,0,539,77
Season 13,Juno,Support,78,0,0,36999,60,0,101,23,8,2,84965,31156,2,9,250,40,644,0,0,0,5857,579
Season 13,Kiriko,Support,30,4,34,18909,38,84,43,13,5,1,61309,14676,1,6,157,13,397,31,0,4,3489,469
Season 13,Lúcio,Support,8,0,19,4340,7,8,10,2,1,0,9354,3894,0,4,63,7,78,5,1625,0,659,71
Season 13,Mei,Damage,23,0,0,72458,11,0,42,19,2,1,1905,18097,1,11,138,20,272,17,1905,2,1350,213
Season 13,Mercy,Support,2,0,1,516,7,36,4,2,2,2,17766,356,2,2,39,2,60,11,633,0,1062,237
Season 13,Moira,Support,15,0,0,6015,9,27,19,4,2,0,16524,5075,0,5,103,11,106,0,2801,0,822,121
Season 13,Pharah,Damage,80,0,0,106121,56,0,183,97,8,5,0,88320,5,18,79,40,322,0,0,10,5522,942
Season 13,Reaper,Damage,49,15,1127,69192,28,0,124,75,5,4,7140,47676,4,11,123,37,243,0,7140,13,3284,642
Season 13,Reinhardt,Tank,5,0,0,3614,3,0,5,0,0,0,0,3614,0,2,2,0,13,4,0,0,233,0
Season 13,Sigma,Tank,16,0,0,17454,3,0,28,12,1,1,0,13325,1,20,28,8,65,3,0,1,538,198
Season 13,Sojourn,Damage,122,9,736,123349,59,0,225,103,11,5,0,103259,5,17,335,89,484,0,0,20,6410,1243
Season 13,Soldier 76,Damage,297,39,1047,356593,159,83,610,313,28,13,48971,298389,13,19,574,204,1518,0,27544,33,17953,3156
Season 13,Sombra,Damage,330,41,1662,232422,183,0,597,267,25,13,5737,206395,13,16,650,187,1690,168,0,41,17405,2891
Season 13,Symmetra,Damage,75,0,0,82432,54,0,142,67,7,4,620,72822,4,12,256,54,543,0,0,14,4924,949
Season 13,Torbjörn,Damage,8,1,11,16994,7,0,13,5,2,1,0,13321,1,8,19,4,32,0,0,1,777,108
Season 13,Tracer,Damage,13,2,157,11616,15,0,26,13,2,1,0,10457,1,6,57,8,155,0,1540,2,1127,84
Season 13,Venture,Damage,168,0,0,159602,98,0,324,155,18,8,0,142219,8,19,777,123,1185,0,0,24,10461,1818
Season 13,Widowmaker,Damage,60,91,202,72867,71,0,185,125,9,6,0,67097,6,11,26,22,195,0,0,58,6552,875
Season 13,Winston,Tank,10,0,0,13924,8,0,22,12,1,0,0,13148,0,5,116,7,116,0,0,1,781,163
Season 13,Zarya,Tank,4,0,0,5571,3,4,9,5,0,0,0,4491,0,5,146,7,146,2,0,0,305,112
Season 13,Zenyatta,Support,4,1,7,7021,5,16,9,5,1,0,6509,5444,0,4,7,2,15,6,76,1,476,62
Season 14,Ana,Support,70,0,0,49695,51,159,111,41,10,6,133978,37687,6,8,107,50,1100,84,3786,2,8095,1314
Season 14,Ashe,Damage,53,14,82,71487,26,0,111,58,4,3,0,59317,3,11,67,28,279,0,0,12,3097,399
Season 14,Baptiste,Support,9,0,26,12200,14,22,17,8,2,1,13659,7856,1,5,14,2,33,5,1734,0,1224,83
Season 14,Bastion,Damage,8,0,28,15652,8,0,15,7,1,0,0,10175,0,6,11,7,49,0,0,1,529,116
Season 14,Brigitte,Support,131,0,0,73900,91,326,190,58,14,6,132753,60429,6,8,495,70,893,91,15876,3,8844,1425
Season 14,Cassidy,Damage,47,14,75,65440,43,0,133,86,7,4,0,57995,4,12,145,41,413,0,0,7,4039,765
Season 14,Echo,Damage,17,0,64,27301,12,0,33,16,2,2,380,19905,2,9,56,6,60,0,0,5,1343,149
Season 14,Genji,Damage,40,2,79,36090,18,0,77,37,4,2,0,27749,2,14,120,15,191,0,0,2,2066,418
Season 14,Hanzo,Damage,19,14,44,43130,21,0,53,34,2,1,0,31843,1,8,22,18,99,0,0,6,1982,270
Season 14,Illari,Support,17,4,39,16800,19,0,31,14,3,2,33287,14914,2,4,20,10,73,3,1842,2,2199,126
Season 14,Junkrat,Damage,14,0,0,8882,4,0,17,3,1,1,0,7680,1,12,12,3,18,6,0,0,454,121
Season 14,Juno,Support,44,0,0,21419,23,0,66,22,4,1,40084,16219,1,9,123,27,197,0,0,2,2875,552
Season 14,Kiriko,Support,82,20,107,59266,68,277,142,60,12,7,141037,47677,7,9,430,67,1242,85,0,4,8644,1474
Season 14,Lifeweaver,Support,4,1,16,2084,4,31,6,2,1,1,14365,1898,1,4,15,1,40,0,1093,0,798,31
Season 14,Lúcio,Support,21,0,46,14433,23,32,29,8,3,0,22773,12761,0,7,257,10,279,20,5303,0,2199,114
Season 14,Mei,Damage,24,0,0,60539,14,0,42,18,2,1,3421,19389,1,10,121,19,149,16,3421,1,1319,221
Season 14,Mercy,Support,1,0,2,500,13,13,1,0,1,1,16342,260,1,1,15,0,46,3,1053,0,1071,162
Season 14,Moira,Support,101,0,0,60603,49,117,139,38,7,4,84545,52848,4,11,375,67,610,0,17549,4,4900,934
Season 14,Pharah,Damage,36,0,0,50126,19,0,89,53,4,3,0,41671,3,10,21,16,122,0,0,9,2409,460
Season 14,Reaper,Damage,22,7,616,39160,20,0,56,34,2,1,4218,26375,1,9,189,28,264,0,4218,4,1787,409
Season 14,Sojourn,Damage,244,23,2044,331089,147,0,578,334,26,16,0,272402,16,19,361,171,1236,0,0,51,15913,3181
Season 14,Soldier 76,Damage,31,5,121,42545,22,13,57,26,2,1,4648,33497,1,8,26,16,93,0,2646,3,1905,292
Season 14,Sombra,Damage,235,21,1001,164247,117,0,402,166,17,8,5767,145868,8,14,482,119,1026,127,0,17,11116,1916
Season 14,Symmetra,Damage,39,0,0,41626,24,0,77,38,4,2,437,36742,2,11,157,41,525,0,0,5,2529,452
Season 14,Torbjörn,Damage,0,0,0,509,1,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,58,0
Season 14,Tracer,Damage,25,1,226,18618,11,0,50,25,2,1,0,17452,1,11,67,16,89,0,2181,2,1362,274
Season 14,Widowmaker,Damage,14,14,25,11142,11,0,34,20,2,1,0,10911,1,7,1,9,59,0,0,6,1135,176
Season 14,Zenyatta,Support,58,2,44,34832,19,115,76,18,4,2,35949,25235,2,13,138,36,590,54,917,1,2810,651
Season 15,Ana,Support,64,0,0,43416,53,110,87,23,8,4,91513,33914,4,11,97,33,665,65,2038,0,5945,968
Season 15,Ashe,Damage,409,95,741,509533,220,0,794,383,31,18,0,436078,18,16,400,196,2462,0,0,66,23693,4342
Season 15,Bastion,Damage,33,2,77,82704,21,0,71,38,3,1,92,51006,1,13,36,22,229,0,0,5,2458,587
Season 15,Brigitte,Support,50,0,0,25319,36,125,79,29,7,5,54699,23268,5,15,151,21,249,38,6257,4,3624,521
Season 15,Cassidy,Damage,451,92,667,584701,324,0,1013,562,51,29,0,485263,29,17,1728,377,2539,0,0,75,31654,6333
Season 15,D.Va,Tank,3,0,215,6752,5,0,10,7,0,0,0,5808,0,4,19,1,19,0,0,1,383,12
Season 15,Doomfist,Tank,8,1,93,11479,12,0,16,6,1,0,334,10496,0,5,112,8,132,0,0,0,843,110
Season 15,Echo,Damage,5,0,94,17458,9,0,16,11,2,0,113,15540,0,5,28,5,136,0,0,2,1006,158
Season 15,Genji,Damage,74,7,184,76532,49,0,133,59,7,1,713,61922,1,15,229,47,328,0,0,10,4668,693
Season 15,Hanzo,Damage,64,31,98,102463,65,0,186,122,8,4,0,88255,4,15,88,50,259,0,0,25,5888,999
Season 15,Illari,Support,40,2,55,27153,30,0,54,14,3,1,61542,21179,1,7,57,20,321,6,2774,3,3211,330
Season 15,Junker Queen,Tank,203,22,1894,200113,92,0,365,161,15,9,44138,171649,9,21,934,152,1384,0,39425,14,9457,2208
Season 15,Junkrat,Damage,5,0,0,5897,2,0,10,5,1,1,0,4780,1,6,0,2,4,1,0,2,380,36
Season 15,Juno,Support,143,0,0,56904,68,0,191,48,12,7,137319,42396,7,14,464,77,1074,0,0,0,8039,1242
Season 15,Kiriko,Support,92,18,114,66367,68,272,152,60,13,7,167613,52499,7,10,370,49,1105,89,0,3,9352,1303
